minute,class,TVC,MQ135,MQ2,MQ3,Humidity,Temperature
406,good,3.526942732,22.14,6.3,20.31,71.2,37.9
407,good,3.531925225,22.03,6.3,20.22,71.2,37.9
408,good,3.536914329,22.14,6.3,20.31,71.3,37.9
409,good,3.541909977,22.03,6.3,20.31,71.3,37.9
410,good,3.546912103,21.93,6.32,20.4,71.3,37.9
411,good,3.551920642,21.93,6.3,20.4,71.3,37.9
412,good,3.556935528,22.03,6.3,20.22,71.3,37.9
413,good,3.561956695,22.14,6.3,20.13,71.3,37.9
414,good,3.566984079,22.03,6.3,20.31,71.3,37.9
415,good,3.572017616,22.03,6.3,20.13,71.4,37.9
416,good,3.577057244,21.93,6.3,20.13,71.4,37.9
417,good,3.582102898,21.93,6.22,19.95,71.5,37.9
418,good,3.587154516,21.84,6.25,20.04,71.5,37.9
419,good,3.592212036,21.93,6.22,19.95,72.0,38.1
420,good,3.597275396,21.84,6.22,20.04,71.5,37.9
421,good,3.602344536,21.93,6.22,20.04,71.6,37.9
422,good,3.607419395,22.14,6.22,19.77,72.1,38.5
423,good,3.612499912,22.03,6.22,19.77,71.5,37.9
424,good,3.617586029,21.93,6.25,19.95,71.6,37.9
425,good,3.622677685,22.24,6.22,19.18,71.7,37.9
426,good,3.627774823,21.93,6.25,19.86,72.2,38.0
427,good,3.632877383,22.03,6.27,19.86,71.6,37.9
428,good,3.637985309,22.14,6.25,19.69,71.7,37.9
429,good,3.643098543,22.14,6.27,19.95,71.7,37.6
430,good,3.648217029,22.24,6.3,19.86,71.7,37.9
431,good,3.65334071,22.03,6.27,19.86,71.8,37.9
432,good,3.65846953,22.75,6.25,19.69,71.7,37.9
433,good,3.663603434,21.84,6.25,19.86,71.8,37.9
434,good,3.668742368,21.84,6.25,19.77,71.8,37.9
435,good,3.673886277,22.03,6.22,19.6,71.8,37.9
436,good,3.679035106,22.24,6.22,19.51,71.8,37.9
437,good,3.684188804,22.03,6.22,19.6,72.3,38.0
438,good,3.689347316,21.93,6.22,19.51,72.3,38.0
439,good,3.69451059,22.14,6.22,19.51,72.4,38.0
440,good,3.699678575,22.14,6.19,19.43,72.3,38.0
441,good,3.704851219,22.14,6.22,19.6,72.4,38.0
442,good,3.71002847,21.93,6.22,19.69,72.5,38.0
443,good,3.715210279,21.93,6.17,19.43,72.4,38.1
